DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:47:50.689,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
485145,0.9976,0.0065,-0.0017,0.0688,0.0141,-0.0169,0.1469,0
485312,0.9976,0.0066,-0.0017,0.0689,0.0050,-0.0160,0.1482,0
485478,0.9976,0.0066,-0.0017,0.0689,0.0084,-0.0206,0.1683,0
485645,0.9976,0.0066,-0.0017,0.0691,-0.0037,-0.0229,0.1442,0
485812,0.9976,0.0066,-0.0017,0.0692,-0.0089,-0.0213,0.1431,0
485978,0.9976,0.0067,-0.0017,0.0693,0.0106,-0.0210,0.1536,0
486145,0.9976,0.0067,-0.0017,0.0693,0.0081,-0.0097,0.1638,0
486312,0.9976,0.0067,-0.0017,0.0694,0.0008,-0.0216,0.1271,0
486478,0.9976,0.0068,-0.0017,0.0695,0.0044,-0.0276,0.1572,0
486645,0.9975,0.0068,-0.0017,0.0696,0.0032,-0.0342,0.1786,0
486812,0.9975,0.0068,-0.0017,0.0697,0.0083,-0.0259,0.1535,0
486978,0.9975,0.0068,-0.0017,0.0697,0.0023,-0.0228,0.1640,0
487145,0.9975,0.0069,-0.0017,0.0698,0.0107,-0.0362,0.1604,0
487312,0.9975,0.0069,-0.0017,0.0699,0.0044,-0.0154,0.1492,0
487478,0.9975,0.0069,-0.0017,0.0701,0.0042,-0.0216,0.1473,0
487645,0.9975,0.0069,-0.0017,0.0701,-0.0032,-0.0198,0.1549,0
487812,0.9975,0.0070,-0.0017,0.0702,0.0110,-0.0281,0.1538,0
487978,0.9975,0.0070,-0.0017,0.0703,0.0131,-0.0282,0.1656,0
488145,0.9975,0.0071,-0.0017,0.0705,-0.0028,-0.0292,0.1363,0
488312,0.9975,0.0071,-0.0017,0.0706,0.0059,-0.0261,0.1609,0
488478,0.9975,0.0071,-0.0017,0.0706,-0.0014,-0.0206,0.1729,0
488645,0.9975,0.0071,-0.0017,0.0707,0.0014,-0.0244,0.1614,0
488812,0.9975,0.0072,-0.0017,0.0708,-0.0005,-0.0241,0.1677,0
488978,0.9975,0.0072,-0.0017,0.0710,-0.0016,-0.0383,0.1620,0
489145,0.9974,0.0072,-0.0016,0.0710,0.0045,-0.0333,0.1443,0
489312,0.9974,0.0072,-0.0017,0.0711,0.0082,-0.0247,0.1512,0
489478,0.9974,0.0073,-0.0016,0.0713,0.0081,-0.0336,0.1553,0
489645,0.9974,0.0073,-0.0016,0.0713,0.0074,-0.0375,0.1657,0
489812,0.9974,0.0073,-0.0016,0.0714,-0.0037,-0.0335,0.1573,0
489978,0.9974,0.0074,-0.0016,0.0715,0.0042,-0.0347,0.1495,0
490145,0.9974,0.0074,-0.0016,0.0716,-0.0005,-0.0420,0.1637,0
490312,0.9974,0.0074,-0.0016,0.0717,0.0002,-0.0389,0.1582,0
490478,0.9974,0.0074,-0.0016,0.0718,0.0056,-0.0382,0.1470,0
490645,0.9974,0.0075,-0.0016,0.0719,0.0147,-0.0371,0.1734,0
490812,0.9974,0.0075,-0.0016,0.0720,0.0107,-0.0298,0.1459,0
490978,0.9974,0.0075,-0.0016,0.0721,0.0064,-0.0343,0.1490,0
491145,0.9974,0.0075,-0.0016,0.0722,0.0053,-0.0411,0.1601,0
491312,0.9974,0.0076,-0.0016,0.0723,-0.0105,-0.0403,0.1561,0
491478,0.9973,0.0076,-0.0016,0.0724,0.0077,-0.0185,0.1667,0
491645,0.9973,0.0076,-0.0016,0.0725,0.0139,-0.0337,0.1462,0
491812,0.9973,0.0077,-0.0016,0.0726,0.0003,-0.0301,0.1414,0
491979,0.9973,0.0077,-0.0016,0.0727,0.0094,-0.0477,0.1580,0
492145,0.9973,0.0077,-0.0016,0.0728,-0.0022,-0.0314,0.1592,0
492312,0.9973,0.0077,-0.0016,0.0729,0.0054,-0.0478,0.1597,0
492479,0.9973,0.0078,-0.0016,0.0729,0.0007,-0.0398,0.1552,0
492645,0.9973,0.0078,-0.0016,0.0731,0.0150,-0.0385,0.1760,0
492812,0.9973,0.0078,-0.0016,0.0732,0.0096,-0.0417,0.1611,0
492979,0.9973,0.0078,-0.0016,0.0733,-0.0045,-0.0467,0.1614,0
493145,0.9973,0.0079,-0.0016,0.0733,0.0074,-0.0287,0.1440,0
493312,0.9973,0.0079,-0.0016,0.0734,-0.0032,-0.0462,0.1692,0
493479,0.9973,0.0079,-0.0016,0.0735,0.0087,-0.0396,0.1688,0
493645,0.9973,0.0079,-0.0016,0.0736,0.0177,-0.0474,0.1561,0
493812,0.9972,0.0079,-0.0016,0.0737,0.0038,-0.0300,0.1587,0
493979,0.9972,0.0079,-0.0016,0.0738,0.0034,-0.0324,0.1514,0
494145,0.9972,0.0080,-0.0016,0.0739,0.0047,-0.0301,0.1591,0
494312,0.9972,0.0080,-0.0016,0.0740,-0.0004,-0.0526,0.1585,0
494479,0.9972,0.0080,-0.0016,0.0741,0.0016,-0.0431,0.1568,0
494645,0.9972,0.0080,-0.0016,0.0741,0.0065,-0.0433,0.1894,0
494812,0.9972,0.0080,-0.0016,0.0742,0.0091,-0.0347,0.1550,0
494979,0.9972,0.0081,-0.0016,0.0743,0.0052,-0.0447,0.1626,0
495145,0.9972,0.0081,-0.0016,0.0743,0.0043,-0.0470,0.1657,0
495312,0.9972,0.0081,-0.0016,0.0744,0.0047,-0.0610,0.1617,0
495479,0.9972,0.0081,-0.0016,0.0745,-0.0065,-0.0523,0.1545,0
495645,0.9972,0.0082,-0.0016,0.0746,0.0081,-0.0555,0.1702,0
495812,0.9972,0.0082,-0.0016,0.0746,0.0194,-0.0515,0.1444,0
495979,0.9972,0.0082,-0.0016,0.0747,0.0032,-0.0436,0.1518,0
496145,0.9972,0.0082,-0.0016,0.0748,-0.0051,-0.0440,0.1626,0
496312,0.9972,0.0082,-0.0016,0.0748,-0.0039,-0.0408,0.1520,0
496479,0.9972,0.0083,-0.0016,0.0749,0.0085,-0.0370,0.1626,0
496645,0.9972,0.0083,-0.0016,0.0750,0.0113,-0.0405,0.1567,0
496812,0.9971,0.0083,-0.0016,0.0750,0.0125,-0.0461,0.1616,0
496979,0.9971,0.0083,-0.0016,0.0751,0.0109,-0.0371,0.1675,0
497145,0.9971,0.0083,-0.0016,0.0752,0.0124,-0.0608,0.1641,0
497312,0.9971,0.0083,-0.0016,0.0752,0.0136,-0.0403,0.1771,0
497479,0.9971,0.0083,-0.0016,0.0753,-0.0027,-0.0383,0.1589,0
497645,0.9971,0.0084,-0.0016,0.0753,-0.0042,-0.0543,0.1804,0
497812,0.9971,0.0084,-0.0016,0.0754,-0.0018,-0.0516,0.1566,0
497979,0.9971,0.0084,-0.0016,0.0754,0.0065,-0.0485,0.1423,0
498145,0.9971,0.0084,-0.0016,0.0755,0.0181,-0.0571,0.1420,0
498312,0.9971,0.0084,-0.0016,0.0756,0.0018,-0.0464,0.1547,0
498479,0.9971,0.0084,-0.0016,0.0756,0.0066,-0.0547,0.1565,0
498645,0.9978,0.0056,-0.0018,0.0658,-0.0074,-0.0040,0.1904,0
498812,0.9978,0.0056,-0.0018,0.0658,0.0030,-0.0055,0.1696,0
498979,0.9978,0.0056,-0.0018,0.0658,-0.0015,-0.0051,0.1698,0
499145,0.9978,0.0056,-0.0018,0.0658,0.0099,-0.0128,0.1453,0
499312,0.9978,0.0056,-0.0018,0.0658,0.0005,0.0047,0.1496,0
