DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:46:56.659,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
402410,0.3863,0.0021,-0.0040,-0.9224,-0.0078,-0.0075,0.1733,0
402577,0.3862,0.0021,-0.0040,-0.9224,0.0068,0.0020,0.1592,0
402744,0.3861,0.0021,-0.0040,-0.9224,0.0109,0.0043,0.1643,0
402910,0.3860,0.0021,-0.0040,-0.9225,0.0049,-0.0120,0.1757,0
403077,0.3860,0.0021,-0.0040,-0.9225,0.0046,-0.0087,0.1808,0
403244,0.3859,0.0021,-0.0040,-0.9225,-0.0020,-0.0024,0.1807,0
403410,0.3858,0.0021,-0.0040,-0.9226,0.0029,0.0038,0.1576,0
403577,0.3858,0.0021,-0.0040,-0.9226,-0.0193,-0.0133,0.1899,0
403744,0.3857,0.0022,-0.0040,-0.9226,-0.0173,0.0093,0.1704,0
403910,0.3856,0.0021,-0.0040,-0.9227,-0.0158,0.0069,0.1565,0
404077,0.3856,0.0021,-0.0040,-0.9227,0.0089,-0.0057,0.1683,0
404244,0.3855,0.0021,-0.0040,-0.9227,0.0057,-0.0186,0.1572,0
404410,0.3854,0.0021,-0.0040,-0.9227,0.0017,0.0056,0.1612,0
404577,0.3853,0.0021,-0.0040,-0.9228,-0.0037,0.0109,0.1751,0
404744,0.3853,0.0022,-0.0040,-0.9228,-0.0212,-0.0005,0.1797,0
404910,0.3852,0.0022,-0.0040,-0.9228,-0.0125,-0.0005,0.1776,0
405077,0.3851,0.0022,-0.0040,-0.9228,-0.0095,-0.0108,0.1678,0
405244,0.3851,0.0022,-0.0040,-0.9229,-0.0006,-0.0208,0.1629,0
405410,0.3850,0.0022,-0.0040,-0.9229,-0.0032,-0.0143,0.1579,0
405577,0.3849,0.0022,-0.0040,-0.9229,-0.0036,-0.0008,0.1604,0
405744,0.3849,0.0022,-0.0040,-0.9230,0.0031,0.0048,0.1781,0
405910,0.3848,0.0022,-0.0040,-0.9230,-0.0072,-0.0004,0.1812,0
406077,0.3847,0.0022,-0.0040,-0.9230,-0.0141,-0.0009,0.1554,0
406244,0.3847,0.0022,-0.0040,-0.9230,-0.0068,-0.0089,0.1713,0
406410,0.3846,0.0022,-0.0040,-0.9231,-0.0046,-0.0244,0.1756,0
