DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.664,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1271521,0.9791,-0.0189,-0.0832,-0.1844,-0.0022,0.0076,-0.9356,0
1271687,0.9791,-0.0189,-0.0832,-0.1844,-0.0022,0.0080,-0.9227,0
1271854,0.9791,-0.0189,-0.0832,-0.1843,-0.0036,-0.0014,-0.8901,0
1272021,0.9791,-0.0189,-0.0832,-0.1844,-0.0074,-0.0006,-0.9165,0
1272187,0.9791,-0.0189,-0.0832,-0.1844,-0.0041,-0.0017,-0.9131,0
1272354,0.9791,-0.0189,-0.0832,-0.1844,-0.0019,0.0036,-0.9278,0
1272521,0.9791,-0.0189,-0.0832,-0.1844,0.0072,-0.0036,-0.9342,0
1272687,0.9791,-0.0189,-0.0832,-0.1844,0.0051,0.0075,-0.9313,0
1272854,0.9791,-0.0189,-0.0832,-0.1845,-0.0006,0.0018,-0.9420,0
1273021,0.9791,-0.0189,-0.0832,-0.1845,0.0137,0.0064,-0.9279,0
1273187,0.9791,-0.0189,-0.0832,-0.1845,-0.0044,-0.0007,-0.9502,0
1273354,0.9791,-0.0189,-0.0832,-0.1845,-0.0046,0.0035,-0.9371,0
1273521,0.9791,-0.0189,-0.0832,-0.1845,0.0029,-0.0116,-0.9295,0
1273687,0.9791,-0.0189,-0.0832,-0.1846,-0.0064,-0.0025,-0.9212,0
1273854,0.9791,-0.0189,-0.0832,-0.1846,-0.0031,0.0107,-0.9453,0
1274021,0.9791,-0.0189,-0.0832,-0.1846,0.0100,-0.0088,-0.9242,0
1274187,0.9791,-0.0189,-0.0832,-0.1846,0.0054,-0.0184,-0.9458,0
1274354,0.9791,-0.0189,-0.0832,-0.1846,-0.0077,-0.0116,-0.9150,0
1274521,0.9791,-0.0189,-0.0832,-0.1846,-0.0052,-0.0095,-0.9073,0
1274687,0.9791,-0.0189,-0.0832,-0.1846,0.0059,0.0104,-0.9326,0
1274854,0.9791,-0.0189,-0.0832,-0.1846,0.0044,-0.0006,-0.9182,0
1275021,0.9791,-0.0189,-0.0832,-0.1846,0.0168,-0.0053,-0.9200,0
1275187,0.9791,-0.0189,-0.0832,-0.1847,-0.0004,-0.0008,-0.9195,0
1275354,0.9791,-0.0189,-0.0832,-0.1847,-0.0078,0.0088,-0.9144,0
1275521,0.9791,-0.0189,-0.0832,-0.1847,0.0025,-0.0131,-0.9088,0
1275687,0.9791,-0.0189,-0.0832,-0.1847,-0.0190,0.0003,-0.9289,0
1275854,0.9791,-0.0189,-0.0832,-0.1847,-0.0003,-0.0233,-0.9217,0
1276021,0.9791,-0.0189,-0.0832,-0.1847,-0.0049,-0.0038,-0.9107,0
1276187,0.9791,-0.0189,-0.0832,-0.1848,-0.0039,-0.0084,-0.9243,0
1276354,0.9791,-0.0189,-0.0832,-0.1848,0.0081,-0.0001,-0.9239,0
1276521,0.9791,-0.0189,-0.0832,-0.1848,0.0011,-0.0022,-0.9312,0
1276687,0.9791,-0.0189,-0.0832,-0.1848,0.0024,0.0024,-0.9288,0
1276854,0.9791,-0.0189,-0.0832,-0.1848,-0.0091,0.0018,-0.9169,0
1277021,0.9791,-0.0189,-0.0832,-0.1848,-0.0089,-0.0094,-0.9217,0
1277187,0.9791,-0.0189,-0.0832,-0.1849,-0.0063,0.0021,-0.9152,0
1277354,0.9791,-0.0189,-0.0832,-0.1849,-0.0059,-0.0050,-0.9252,0
1277521,0.9791,-0.0188,-0.0832,-0.1849,0.0134,-0.0077,-0.9330,0
1277687,0.9790,-0.0189,-0.0832,-0.1849,0.0104,-0.0046,-0.9411,0
1277854,0.9790,-0.0189,-0.0832,-0.1849,-0.0000,-0.0019,-0.9160,0
1278021,0.9790,-0.0189,-0.0832,-0.1849,-0.0021,-0.0026,-0.9236,0
1278187,0.9790,-0.0189,-0.0832,-0.1849,-0.0048,-0.0032,-0.9500,0
1278354,0.9790,-0.0189,-0.0832,-0.1850,0.0099,-0.0108,-0.9446,0
1278521,0.9790,-0.0189,-0.0832,-0.1850,-0.0102,0.0031,-0.9533,0
1278687,0.9790,-0.0189,-0.0832,-0.1850,-0.0008,0.0023,-0.9284,0
1278854,0.9790,-0.0189,-0.0832,-0.1850,-0.0008,-0.0082,-0.9366,0
1279021,0.9790,-0.0189,-0.0832,-0.1850,-0.0098,-0.0024,-0.9334,0
1279187,0.9790,-0.0189,-0.0832,-0.1851,-0.0017,-0.0123,-0.9046,0
1279354,0.9790,-0.0189,-0.0832,-0.1851,-0.0001,-0.0030,-0.9166,0
1279521,0.9790,-0.0189,-0.0832,-0.1851,-0.0057,-0.0097,-0.9365,0
1279687,0.9790,-0.0189,-0.0832,-0.1851,-0.0147,-0.0018,-0.9093,0
1279854,0.9790,-0.0189,-0.0832,-0.1851,0.0068,0.0024,-0.9154,0
1280021,0.9790,-0.0189,-0.0832,-0.1851,0.0103,-0.0153,-0.9431,0
1280187,0.9790,-0.0189,-0.0832,-0.1851,0.0038,-0.0047,-0.9263,0
1280354,0.9790,-0.0189,-0.0832,-0.1851,-0.0016,-0.0044,-0.9327,0
1280521,0.9790,-0.0189,-0.0832,-0.1851,-0.0049,0.0128,-0.9196,0
1280687,0.9790,-0.0189,-0.0832,-0.1851,-0.0039,-0.0021,-0.9265,0
1280854,0.9790,-0.0189,-0.0832,-0.1852,-0.0001,-0.0060,-0.9119,0
1281021,0.9790,-0.0189,-0.0832,-0.1852,0.0016,-0.0027,-0.9486,0
1281187,0.9790,-0.0189,-0.0832,-0.1852,-0.0001,0.0006,-0.9262,0
1281354,0.9790,-0.0189,-0.0832,-0.1852,-0.0011,-0.0125,-0.9297,0
1281521,0.9790,-0.0189,-0.0832,-0.1852,0.0103,-0.0033,-0.9390,0
1281687,0.9790,-0.0189,-0.0832,-0.1853,-0.0025,-0.0095,-0.9281,0
1281854,0.9790,-0.0189,-0.0832,-0.1853,0.0037,-0.0159,-0.9435,0
1282021,0.9790,-0.0189,-0.0832,-0.1853,0.0051,-0.0268,-0.9544,0
1282187,0.9790,-0.0189,-0.0832,-0.1853,-0.0202,-0.0126,-0.9226,0
1282354,0.9790,-0.0189,-0.0832,-0.1853,-0.0085,-0.0109,-0.9249,0
1282521,0.9790,-0.0189,-0.0832,-0.1853,0.0020,-0.0043,-0.9442,0
1282688,0.9790,-0.0189,-0.0832,-0.1854,0.0150,0.0029,-0.9298,0
1282854,0.9790,-0.0189,-0.0832,-0.1854,-0.0058,0.0051,-0.9202,0
1283021,0.9790,-0.0189,-0.0832,-0.1854,-0.0064,-0.0024,-0.9151,0
1283188,0.9790,-0.0189,-0.0832,-0.1854,-0.0051,-0.0005,-0.9179,0
1283354,0.9789,-0.0189,-0.0832,-0.1854,-0.0075,-0.0042,-0.9303,0
1283521,0.9789,-0.0189,-0.0832,-0.1854,0.0002,-0.0029,-0.9299,0
1283688,0.9789,-0.0189,-0.0832,-0.1854,-0.0004,-0.0147,-0.9449,0
1283854,0.9789,-0.0189,-0.0832,-0.1854,-0.0046,-0.0015,-0.9268,0
1284021,0.9789,-0.0189,-0.0832,-0.1855,-0.0131,-0.0075,-0.9266,0
1284188,0.9789,-0.0189,-0.0832,-0.1855,-0.0032,0.0109,-0.9244,0
1284354,0.9789,-0.0189,-0.0832,-0.1855,0.0057,-0.0093,-0.9390,0
1284521,0.9789,-0.0189,-0.0832,-0.1855,-0.0031,0.0008,-0.9422,0
1284688,0.9789,-0.0189,-0.0832,-0.1855,-0.0047,0.0183,-0.9143,0
1284854,0.9789,-0.0189,-0.0832,-0.1855,-0.0102,-0.0029,-0.9359,0
1285021,0.9789,-0.0189,-0.0832,-0.1855,-0.0078,-0.0096,-0.9300,0
1285188,0.9789,-0.0189,-0.0832,-0.1856,0.0117,-0.0008,-0.9198,0
1285354,0.9789,-0.0189,-0.0832,-0.1856,-0.0113,0.0005,-0.9253,0
1285521,0.9789,-0.0189,-0.0832,-0.1856,-0.0010,0.0102,-0.9176,0
1285688,0.9789,-0.0189,-0.0832,-0.1856,0.0041,-0.0127,-0.9101,0
1285854,0.9789,-0.0189,-0.0832,-0.1856,-0.0095,0.0040,-0.9169,0
1286021,0.9789,-0.0189,-0.0832,-0.1856,-0.0026,-0.0024,-0.9288,0
1286188,0.9789,-0.0189,-0.0832,-0.1856,-0.0057,-0.0033,-0.9107,0
1286354,0.9789,-0.0189,-0.0832,-0.1856,-0.0056,0.0003,-0.9294,0
1286521,0.9789,-0.0189,-0.0832,-0.1856,0.0016,-0.0071,-0.9259,0
1286688,0.9789,-0.0189,-0.0832,-0.1856,-0.0013,-0.0050,-0.9243,0
1286854,0.9789,-0.0189,-0.0832,-0.1856,-0.0052,-0.0032,-0.9349,0
1287021,0.9789,-0.0189,-0.0832,-0.1856,-0.0007,0.0021,-0.9358,0
1287188,0.9789,-0.0189,-0.0832,-0.1857,-0.0002,-0.0083,-0.9110,0
1287354,0.9789,-0.0189,-0.0832,-0.1857,-0.0040,-0.0135,-0.9293,0
1287521,0.9789,-0.0189,-0.0832,-0.1857,0.0005,-0.0035,-0.9120,0
1287688,0.9789,-0.0189,-0.0832,-0.1857,-0.0074,-0.0064,-0.9345,0
1287854,0.9789,-0.0189,-0.0832,-0.1857,0.0039,-0.0064,-0.9206,0
1288021,0.9789,-0.0189,-0.0832,-0.1857,0.0060,-0.0171,-0.9204,0
1288188,0.9789,-0.0189,-0.0832,-0.1857,-0.0007,-0.0098,-0.9065,0
1288354,0.9789,-0.0189,-0.0832,-0.1857,-0.0036,-0.0004,-0.9244,0
1288521,0.9789,-0.0189,-0.0832,-0.1857,-0.0176,-0.0082,-0.9166,0
1288688,0.9789,-0.0189,-0.0832,-0.1858,-0.0039,-0.0012,-0.9222,0
1288854,0.9789,-0.0189,-0.0832,-0.1858,0.0007,-0.0175,-0.9269,0
1289021,0.9789,-0.0189,-0.0832,-0.1858,0.0037,-0.0039,-0.9568,0
1289188,0.9789,-0.0189,-0.0832,-0.1858,-0.0046,-0.0028,-0.9054,0
1289354,0.9789,-0.0189,-0.0832,-0.1858,-0.0015,-0.0160,-0.9351,0
1289521,0.9789,-0.0189,-0.0832,-0.1858,0.0114,-0.0082,-0.9226,0
1289688,0.9789,-0.0189,-0.0832,-0.1858,-0.0029,-0.0066,-0.9243,0
1289854,0.9789,-0.0189,-0.0832,-0.1859,-0.0108,-0.0028,-0.9346,0
1290021,0.9789,-0.0189,-0.0832,-0.1859,0.0050,-0.0001,-0.9435,0
1290188,0.9789,-0.0189,-0.0832,-0.1859,-0.0045,0.0032,-0.9335,0
1290354,0.9789,-0.0189,-0.0832,-0.1859,0.0023,-0.0070,-0.9248,0
1290521,0.9789,-0.0189,-0.0832,-0.1859,-0.0010,-0.0044,-0.9182,0
1290688,0.9789,-0.0189,-0.0832,-0.1859,-0.0085,-0.0024,-0.9013,0
1290854,0.9789,-0.0189,-0.0832,-0.1859,-0.0000,-0.0045,-0.8978,0
1291021,0.9788,-0.0190,-0.0832,-0.1860,0.0046,-0.0138,-0.9319,0
1291188,0.9788,-0.0190,-0.0832,-0.1860,0.0010,-0.0009,-0.9268,0
1291354,0.9788,-0.0190,-0.0832,-0.1860,0.0078,-0.0070,-0.9452,0
1291521,0.9788,-0.0190,-0.0832,-0.1860,0.0024,-0.0084,-0.9188,0
1291688,0.9788,-0.0190,-0.0832,-0.1860,-0.0138,0.0076,-0.9496,0
1291854,0.9788,-0.0190,-0.0832,-0.1861,-0.0118,-0.0129,-0.9347,0
1292021,0.9788,-0.0190,-0.0832,-0.1861,-0.0018,0.0042,-0.9193,0
1292188,0.9788,-0.0190,-0.0832,-0.1861,-0.0057,-0.0031,-0.9304,0
1292354,0.9788,-0.0190,-0.0832,-0.1861,0.0061,-0.0054,-0.95
