DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-12-02 18:04:02.724,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
164713,0.8416,0.1274,-0.3327,0.4059,-0.0916,0.0306,-0.3691,0
164879,0.8336,0.1372,-0.3531,0.4021,-0.0353,0.0847,-0.3708,0
165046,0.8254,0.1463,-0.3724,0.3984,0.1205,-0.0165,-0.3168,0
165213,0.8167,0.1554,-0.3917,0.3942,-0.0347,-0.3028,-0.1213,0
165379,0.8067,0.1651,-0.4127,0.3895,-0.2847,-0.5440,-0.0069,0
165546,0.7949,0.1756,-0.4358,0.3838,-0.4850,-0.6419,-0.1198,0
165713,0.7813,0.1869,-0.4609,0.3771,-0.4736,-0.5051,-0.2556,0
165879,0.7658,0.1985,-0.4875,0.3694,-0.4030,-0.2537,-0.4568,0
166046,0.7485,0.2103,-0.5152,0.3607,-0.5586,-0.0373,-0.6126,0
166213,0.7294,0.2219,-0.5437,0.3509,-0.2431,0.0034,-0.6382,0
166379,0.7084,0.2333,-0.5730,0.3397,0.0868,0.0069,-0.7127,0
166546,0.6877,0.2444,-0.6003,0.3270,1.3562,0.5926,0.7018,0
166713,0.6689,0.2539,-0.6244,0.3134,0.9766,0.5420,-0.5826,0
166879,0.6508,0.2619,-0.6464,0.3000,0.1289,0.8385,-0.6296,0
167046,0.6328,0.2684,-0.6671,0.2872,0.0584,0.5955,-0.8515,0
167213,-0.6175,-0.2722,0.6845,-0.2758,0.9088,0.8712,0.1025,0
167379,-0.6049,-0.2741,0.6986,-0.2665,0.4602,0.5989,-0.1747,0
167546,-0.6006,-0.2733,0.7047,-0.2608,1.4336,0.6460,1.0471,0
167713,-0.6005,-0.2714,0.7068,-0.2574,0.3209,0.3792,-0.0709,0
167879,-0.6012,-0.2697,0.7076,-0.2553,0.0918,0.0626,0.0638,0
168046,-0.6011,-0.2693,0.7082,-0.2543,0.0151,-0.1091,-0.0286,0
168213,-0.6012,-0.2695,0.7079,-0.2546,0.2230,0.4199,-0.1337,0
168379,-0.6020,-0.2691,0.7072,-0.2550,0.1806,-0.1922,0.1789,0
168546,-0.6025,-0.2690,0.7067,-0.2552,-0.1320,-0.0135,-0.1908,0
168713,-0.6030,-0.2688,0.7064,-0.2554,0.0967,-0.1634,0.1613,0
168879,-0.6035,-0.2686,0.7059,-0.2556,-0.0004,0.0508,-0.0670,0
169046,-0.6041,-0.2683,0.7053,-0.2560,0.0810,-0.0758,0.0007,0
169213,-0.6050,-0.2679,0.7046,-0.2564,0.1188,0.0204,-0.0080,0
169379,-0.6063,-0.2671,0.7035,-0.2571,0.2565,0.1771,0.0179,0
169546,-0.6084,-0.2663,0.7016,-0.2581,0.1274,-0.0694,0.0809,0
169713,-0.6107,-0.2653,0.6996,-0.2593,-0.1162,0.0022,0.0157,0
169879,-0.6125,-0.2647,0.6980,-0.2598,-0.0183,-0.3430,-0.0857,0
170046,-0.6138,-0.2641,0.6968,-0.2606,-0.2568,0.0317,-0.2810,0
170213,-0.6145,-0.2638,0.6962,-0.2609,0.0630,-0.3805,0.2131,0
170379,-0.6154,-0.2635,0.6954,-0.2613,0.0170,0.1422,-0.1105,0
170546,-0.6166,-0.2630,0.6942,-0.2623,0.1786,0.1301,-0.0295,0
170713,-0.6195,-0.2617,0.6914,-0.2641,0.7083,0.5787,0.0489,0
170879,-0.6262,-0.2584,0.6852,-0.2677,1.1902,1.3100,0.1682,0
171046,0.6373,0.2530,-0.6746,0.2733,0.8876,0.9761,-0.0775,0
171213,0.6522,0.2461,-0.6594,0.2815,0.6686,0.4002,-0.0377,0
171379,0.6705,0.2381,-0.6389,0.2925,0.4230,0.5064,-0.3287,0
171546,0.6921,0.2287,-0.6121,0.3065,0.4569,0.5305,-0.3373,0
171713,0.7150,0.2185,-0.5809,0.3218,0.6547,0.2612,-0.3466,0
171879,0.7373,0.2082,-0.5482,0.3353,0.2582,-0.3248,0.1393,0
172046,0.7563,0.1985,-0.5183,0.3463,-0.6561,-1.0820,-0.5900,0
172213,0.7709,0.1905,-0.4929,0.3556,-1.0274,-0.9658,-0.2228,0
172379,0.7820,0.1841,-0.4722,0.3629,-1.3236,-0.7586,0.1486,0
172546,0.7885,0.1800,-0.4592,0.3674,-1.4299,-1.1283,0.4754,0
172713,0.7908,0.1783,-0.4545,0.3691,-0.8713,-1.0199,0.3797,0
172879,0.7911,0.1779,-0.4541,0.3692,-0.1491,-0.2465,0.0942,0
173046,0.7915,0.1775,-0.4534,0.3695,0.3632,0.2628,-0.1400,0
173213,0.7931,0.1762,-0.4504,0.3703,0.3717,0.3611,-0.3001,0
173379,0.7957,0.1742,-0.4452,0.3719,0.2749,0.3098,-0.1717,0
173546,0.7989,0.1717,-0.4390,0.3737,0.0947,0.1739,-0.1482,0
173713,0.8020,0.1689,-0.4327,0.3755,-0.0080,0.0370,-0.1103,0
173879,0.8053,0.1659,-0.4260,0.3773,0.1285,0.1208,-0.1407,0
174046,0.8091,0.1624,-0.4182,0.3796,0.1324,0.1955,-0.1835,0
174213,0.8134,0.1585,-0.4092,0.3819,0.3190,0.2753,-0.1843,0
174379,0.8179,0.1541,-0.3997,0.3840,0.0861,-0.0185,-0.0667,0
174546,0.8221,0.1500,-0.3910,0.3857,-0.1306,-0.2995,0.0638,0
174713,0.8259,0.1458,-0.3828,0.3874,0.1014,0.2295,-0.2863,0
174879,0.8310,0.1401,-0.3714,0.3896,0.7891,0.7777,-0.7302,0
